Components,Description,Unit Price,Quantity,Address
LM3940IT-3.3/NOPB-ND,3.3 V Regulator,,1,
MAX6675ISA+TCT-ND,Thermocouple,,2,
74VHC125MTCXCT-ND,Non-inv buffer,,1,
490-GRM02YR60J104ME01LCT-ND,0.1uF Cap,,3,
490-10410-1-ND,0.47uF Cap,,1,
1276-2420-1-ND,47uF Cap,,1,
WM6357CT-ND,SD Card holder,,1,
118-CR0805-FX-1300ELFCT-ND,130 Ohm,,5,
475-1410-1-ND,Green LED,,5,
GY-NEO6MV2 NEO-6m,GPS ,,1,Amazon.com: HiLetgo GY-NEO6MV2 NEO-6M GPS Flight Controller Module 3V-5V with Super Strong Ceramic Antenna for Arduino EEPROM APM 2.5 : Electronics
LM2956,Battery voltage regulator,,1,
,2pin 2.54mm pitch screw terminal,,1,https://www.amazon.com/Screw-Terminal-Connector-2-54mm-Universal/dp/B07QLXR1V9
